antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequents_len,rules_set_sorted,rules_len,rules_sorted
frozenset({'state'}),frozenset({'proto'}),0.71625675,0.73065387,0.71625675,1.0,1.36863711,0.19292098,inf,1,1,"['proto', 'state']",2,"proto,state"
frozenset({'swin'}),frozenset({'proto'}),0.73065387,0.73065387,0.73065387,1.0,1.36863711,0.19679879,inf,1,1,"['proto', 'swin']",2,"proto,swin"
frozenset({'proto'}),frozenset({'swin'}),0.73065387,0.73065387,0.73065387,1.0,1.36863711,0.19679879,inf,1,1,"['proto', 'swin']",2,"proto,swin"
frozenset({'state'}),frozenset({'swin'}),0.71625675,0.73065387,0.71625675,1.0,1.36863711,0.19292098,inf,1,1,"['state', 'swin']",2,"state,swin"
frozenset({'ct_src_dport_ltm'}),frozenset({'ct_dst_sport_ltm'}),0.74985003,0.86742651,0.74985003,1.0,1.15283541,0.09941023,inf,1,1,"['ct_dst_sport_ltm', 'ct_src_dport_ltm']",2,"ct_dst_sport_ltm,ct_src_dport_ltm"
frozenset({'ct_dst_src_ltm'}),frozenset({'ct_dst_sport_ltm'}),0.56628674,0.86742651,0.56628674,1.0,1.15283541,0.07507461,inf,1,1,"['ct_dst_sport_ltm', 'ct_dst_src_ltm']",2,"ct_dst_sport_ltm,ct_dst_src_ltm"
frozenset({'ct_flw_http_mthd'}),frozenset({'trans_depth'}),0.90161968,0.90161968,0.90161968,1.0,1.1091151,0.08870164,inf,1,1,"['ct_flw_http_mthd', 'trans_depth']",2,"ct_flw_http_mthd,trans_depth"
frozenset({'trans_depth'}),frozenset({'ct_flw_http_mthd'}),0.90161968,0.90161968,0.90161968,1.0,1.1091151,0.08870164,inf,1,1,"['ct_flw_http_mthd', 'trans_depth']",2,"ct_flw_http_mthd,trans_depth"
frozenset({'trans_depth'}),frozenset({'response_body_len'}),0.90161968,0.910018,0.90161968,1.0,1.09887937,0.08112954,inf,1,1,"['response_body_len', 'trans_depth']",2,"response_body_len,trans_depth"
frozenset({'ct_flw_http_mthd'}),frozenset({'response_body_len'}),0.90161968,0.910018,0.90161968,1.0,1.09887937,0.08112954,inf,1,1,"['ct_flw_http_mthd', 'response_body_len']",2,"ct_flw_http_mthd,response_body_len"
frozenset({'dttl'}),frozenset({'sttl'}),0.93941212,0.94241152,0.93941212,1.0,1.06110757,0.05409932,inf,1,1,"['dttl', 'sttl']",2,"dttl,sttl"
frozenset({'sttl'}),frozenset({'ct_state_ttl'}),0.94241152,0.9610078,0.94241152,1.0,1.04057428,0.0367467,inf,1,1,"['ct_state_ttl', 'sttl']",2,"ct_state_ttl,sttl"
