antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequents_len,rules_set_sorted,rules_len,rules_sorted
frozenset({'state'}),frozenset({'proto'}),0.69106179,0.70365927,0.69106179,1.0,1.42114237,0.20478976,inf,1,1,"['proto', 'state']",2,"proto,state"
frozenset({'proto'}),frozenset({'swin'}),0.70365927,0.70365927,0.70365927,1.0,1.42114237,0.2085229,inf,1,1,"['proto', 'swin']",2,"proto,swin"
frozenset({'swin'}),frozenset({'proto'}),0.70365927,0.70365927,0.70365927,1.0,1.42114237,0.2085229,inf,1,1,"['proto', 'swin']",2,"proto,swin"
frozenset({'state'}),frozenset({'swin'}),0.69106179,0.70365927,0.69106179,1.0,1.42114237,0.20478976,inf,1,1,"['state', 'swin']",2,"state,swin"
frozenset({'ct_src_dport_ltm'}),frozenset({'ct_dst_sport_ltm'}),0.73785243,0.85002999,0.73785243,1.0,1.17642908,0.11065573,inf,1,1,"['ct_dst_sport_ltm', 'ct_src_dport_ltm']",2,"ct_dst_sport_ltm,ct_src_dport_ltm"
frozenset({'ct_dst_src_ltm'}),frozenset({'ct_dst_sport_ltm'}),0.51829634,0.85002999,0.51829634,1.0,1.17642908,0.07772891,inf,1,1,"['ct_dst_sport_ltm', 'ct_dst_src_ltm']",2,"ct_dst_sport_ltm,ct_dst_src_ltm"
frozenset({'tcprtt'}),frozenset({'trans_depth'}),0.30533893,0.92681464,0.30533893,1.0,1.0789644,0.02234634,inf,1,1,"['tcprtt', 'trans_depth']",2,"tcprtt,trans_depth"
frozenset({'tcprtt'}),frozenset({'ct_flw_http_mthd'}),0.30533893,0.92681464,0.30533893,1.0,1.0789644,0.02234634,inf,1,1,"['ct_flw_http_mthd', 'tcprtt']",2,"ct_flw_http_mthd,tcprtt"
frozenset({'trans_depth'}),frozenset({'ct_flw_http_mthd'}),0.92681464,0.92681464,0.92681464,1.0,1.0789644,0.06782927,inf,1,1,"['ct_flw_http_mthd', 'trans_depth']",2,"ct_flw_http_mthd,trans_depth"
frozenset({'ct_flw_http_mthd'}),frozenset({'trans_depth'}),0.92681464,0.92681464,0.92681464,1.0,1.0789644,0.06782927,inf,1,1,"['ct_flw_http_mthd', 'trans_depth']",2,"ct_flw_http_mthd,trans_depth"
frozenset({'tcprtt'}),frozenset({'response_body_len'}),0.30533893,0.9340132,0.30533893,1.0,1.07064868,0.02014834,inf,1,1,"['response_body_len', 'tcprtt']",2,"response_body_len,tcprtt"
frozenset({'trans_depth'}),frozenset({'response_body_len'}),0.92681464,0.9340132,0.92681464,1.0,1.07064868,0.06115753,inf,1,1,"['response_body_len', 'trans_depth']",2,"response_body_len,trans_depth"
frozenset({'ct_flw_http_mthd'}),frozenset({'response_body_len'}),0.92681464,0.9340132,0.92681464,1.0,1.07064868,0.06115753,inf,1,1,"['ct_flw_http_mthd', 'response_body_len']",2,"ct_flw_http_mthd,response_body_len"
frozenset({'sttl'}),frozenset({'ct_state_ttl'}),0.93761248,0.95860828,0.93761248,1.0,1.04317897,0.03880939,inf,1,1,"['ct_state_ttl', 'sttl']",2,"ct_state_ttl,sttl"
frozenset({'dttl'}),frozenset({'ct_state_ttl'}),0.93641272,0.95860828,0.93641272,1.0,1.04317897,0.03875973,inf,1,1,"['ct_state_ttl', 'dttl']",2,"ct_state_ttl,dttl"
frozenset({'service'}),frozenset({'is_ftp_login'}),0.60887822,0.97960408,0.60887822,1.0,1.02082058,0.01241863,inf,1,1,"['is_ftp_login', 'service']",2,"is_ftp_login,service"
frozenset({'service'}),frozenset({'ct_ftp_cmd'}),0.60887822,0.97960408,0.60887822,1.0,1.02082058,0.01241863,inf,1,1,"['ct_ftp_cmd', 'service']",2,"ct_ftp_cmd,service"
frozenset({'tcprtt'}),frozenset({'is_ftp_login'}),0.30533893,0.97960408,0.30533893,1.0,1.02082058,0.00622767,inf,1,1,"['is_ftp_login', 'tcprtt']",2,"is_ftp_login,tcprtt"
frozenset({'tcprtt'}),frozenset({'ct_ftp_cmd'}),0.30533893,0.97960408,0.30533893,1.0,1.02082058,0.00622767,inf,1,1,"['ct_ftp_cmd', 'tcprtt']",2,"ct_ftp_cmd,tcprtt"
frozenset({'is_ftp_login'}),frozenset({'ct_ftp_cmd'}),0.97960408,0.97960408,0.97960408,1.0,1.02082058,0.01997993,inf,1,1,"['ct_ftp_cmd', 'is_ftp_login']",2,"ct_ftp_cmd,is_ftp_login"
frozenset({'ct_ftp_cmd'}),frozenset({'is_ftp_login'}),0.97960408,0.97960408,0.97960408,1.0,1.02082058,0.01997993,inf,1,1,"['ct_ftp_cmd', 'is_ftp_login']",2,"ct_ftp_cmd,is_ftp_login"
frozenset({'proto'}),frozenset({'is_sm_ips_ports'}),0.70365927,0.99760048,0.70365927,1.0,1.00240529,0.00168844,inf,1,1,"['is_sm_ips_ports', 'proto']",2,"is_sm_ips_ports,proto"
frozenset({'state'}),frozenset({'is_sm_ips_ports'}),0.69106179,0.99760048,0.69106179,1.0,1.00240529,0.00165822,inf,1,1,"['is_sm_ips_ports', 'state']",2,"is_sm_ips_ports,state"
frozenset({'sttl'}),frozenset({'is_sm_ips_ports'}),0.93761248,0.99760048,0.93761248,1.0,1.00240529,0.00224982,inf,1,1,"['is_sm_ips_ports', 'sttl']",2,"is_sm_ips_ports,sttl"
frozenset({'dttl'}),frozenset({'is_sm_ips_ports'}),0.93641272,0.99760048,0.93641272,1.0,1.00240529,0.00224694,inf,1,1,"['dttl', 'is_sm_ips_ports']",2,"dttl,is_sm_ips_ports"
frozenset({'swin'}),frozenset({'is_sm_ips_ports'}),0.70365927,0.99760048,0.70365927,1.0,1.00240529,0.00168844,inf,1,1,"['is_sm_ips_ports', 'swin']",2,"is_sm_ips_ports,swin"
frozenset({'ct_state_ttl'}),frozenset({'is_sm_ips_ports'}),0.95860828,0.99760048,0.95860828,1.0,1.00240529,0.0023002,inf,1,1,"['ct_state_ttl', 'is_sm_ips_ports']",2,"ct_state_ttl,is_sm_ips_ports"
frozenset({'ct_src_dport_ltm'}),frozenset({'is_sm_ips_ports'}),0.73785243,0.99760048,0.73785243,1.0,1.00240529,0.00177049,inf,1,1,"['ct_src_dport_ltm', 'is_sm_ips_ports']",2,"ct_src_dport_ltm,is_sm_ips_ports"
frozenset({'ct_dst_sport_ltm'}),frozenset({'is_sm_ips_ports'}),0.85002999,0.99760048,0.85002999,1.0,1.00240529,0.00203966,inf,1,1,"['ct_dst_sport_ltm', 'is_sm_ips_ports']",2,"ct_dst_sport_ltm,is_sm_ips_ports"
frozenset({'ct_dst_src_ltm'}),frozenset({'is_sm_ips_ports'}),0.51829634,0.99760048,0.51829634,1.0,1.00240529,0.00124366,inf,1,1,"['ct_dst_src_ltm', 'is_sm_ips_ports']",2,"ct_dst_src_ltm,is_sm_ips_ports"
frozenset({'state'}),frozenset({'proto'}),0.70245951,0.71205759,0.70245951,1.0,1.40438079,0.20226788,inf,1,1,"['proto', 'state']",2,"proto,state"
frozenset({'proto'}),frozenset({'swin'}),0.71205759,0.71205759,0.71205759,1.0,1.40438079,0.20503158,inf,1,1,"['proto', 'swin']",2,"proto,swin"
frozenset({'swin'}),frozenset({'proto'}),0.71205759,0.71205759,0.71205759,1.0,1.40438079,0.20503158,inf,1,1,"['proto', 'swin']",2,"proto,swin"
frozenset({'state'}),frozenset({'swin'}),0.70245951,0.71205759,0.70245951,1.0,1.40438079,0.20226788,inf,1,1,"['state', 'swin']",2,"state,swin"
frozenset({'ct_dst_src_ltm'}),frozenset({'ct_dst_sport_ltm'}),0.54769046,0.85062987,0.54769046,1.0,1.17559944,0.08180859,inf,1,1,"['ct_dst_sport_ltm', 'ct_dst_src_ltm']",2,"ct_dst_sport_ltm,ct_dst_src_ltm"
frozenset({'trans_depth'}),frozenset({'ct_flw_http_mthd'}),0.90941812,0.90941812,0.90941812,1.0,1.09960422,0.08237681,inf,1,1,"['ct_flw_http_mthd', 'trans_depth']",2,"ct_flw_http_mthd,trans_depth"
frozenset({'ct_flw_http_mthd'}),frozenset({'trans_depth'}),0.90941812,0.90941812,0.90941812,1.0,1.09960422,0.08237681,inf,1,1,"['ct_flw_http_mthd', 'trans_depth']",2,"ct_flw_http_mthd,trans_depth"
frozenset({'trans_depth'}),frozenset({'response_body_len'}),0.90941812,0.91481704,0.90941812,1.0,1.09311475,0.07746693,inf,1,1,"['response_body_len', 'trans_depth']",2,"response_body_len,trans_depth"
frozenset({'ct_flw_http_mthd'}),frozenset({'response_body_len'}),0.90941812,0.91481704,0.90941812,1.0,1.09311475,0.07746693,inf,1,1,"['ct_flw_http_mthd', 'response_body_len']",2,"ct_flw_http_mthd,response_body_len"
frozenset({'sttl'}),frozenset({'ct_state_ttl'}),0.93161368,0.96040792,0.93161368,1.0,1.04122423,0.03688452,inf,1,1,"['ct_state_ttl', 'sttl']",2,"ct_state_ttl,sttl"
frozenset({'dttl'}),frozenset({'ct_state_ttl'}),0.9340132,0.96040792,0.9340132,1.0,1.04122423,0.03697953,inf,1,1,"['ct_state_ttl', 'dttl']",2,"ct_state_ttl,dttl"
frozenset({'service'}),frozenset({'is_ftp_login'}),0.61427714,0.9820036,0.61427714,1.0,1.01832621,0.01105478,inf,1,1,"['is_ftp_login', 'service']",2,"is_ftp_login,service"
frozenset({'service'}),frozenset({'ct_ftp_cmd'}),0.61427714,0.9820036,0.61427714,1.0,1.01832621,0.01105478,inf,1,1,"['ct_ftp_cmd', 'service']",2,"ct_ftp_cmd,service"
frozenset({'is_ftp_login'}),frozenset({'ct_ftp_cmd'}),0.9820036,0.9820036,0.9820036,1.0,1.01832621,0.01767253,inf,1,1,"['ct_ftp_cmd', 'is_ftp_login']",2,"ct_ftp_cmd,is_ftp_login"
frozenset({'ct_ftp_cmd'}),frozenset({'is_ftp_login'}),0.9820036,0.9820036,0.9820036,1.0,1.01832621,0.01767253,inf,1,1,"['ct_ftp_cmd', 'is_ftp_login']",2,"ct_ftp_cmd,is_ftp_login"
frozenset({'proto'}),frozenset({'is_sm_ips_ports'}),0.71205759,0.99940012,0.71205759,1.0,1.00060024,0.00042715,inf,1,1,"['is_sm_ips_ports', 'proto']",2,"is_sm_ips_ports,proto"
frozenset({'state'}),frozenset({'is_sm_ips_ports'}),0.70245951,0.99940012,0.70245951,1.0,1.00060024,0.00042139,inf,1,1,"['is_sm_ips_ports', 'state']",2,"is_sm_ips_ports,state"
frozenset({'sttl'}),frozenset({'is_sm_ips_ports'}),0.93161368,0.99940012,0.93161368,1.0,1.00060024,0.00055886,inf,1,1,"['is_sm_ips_ports', 'sttl']",2,"is_sm_ips_ports,sttl"
frozenset({'dttl'}),frozenset({'is_sm_ips_ports'}),0.9340132,0.99940012,0.9340132,1.0,1.00060024,0.0005603,inf,1,1,"['dttl', 'is_sm_ips_ports']",2,"dttl,is_sm_ips_ports"
frozenset({'swin'}),frozenset({'is_sm_ips_ports'}),0.71205759,0.99940012,0.71205759,1.0,1.00060024,0.00042715,inf,1,1,"['is_sm_ips_ports', 'swin']",2,"is_sm_ips_ports,swin"
frozenset({'ct_state_ttl'}),frozenset({'is_sm_ips_ports'}),0.96040792,0.99940012,0.96040792,1.0,1.00060024,0.00057613,inf,1,1,"['ct_state_ttl', 'is_sm_ips_ports']",2,"ct_state_ttl,is_sm_ips_ports"
frozenset({'ct_src_dport_ltm'}),frozenset({'is_sm_ips_ports'}),0.73185363,0.99940012,0.73185363,1.0,1.00060024,0.00043902,inf,1,1,"['ct_src_dport_ltm', 'is_sm_ips_ports']",2,"ct_src_dport_ltm,is_sm_ips_ports"
frozenset({'ct_dst_sport_ltm'}),frozenset({'is_sm_ips_ports'}),0.85062987,0.99940012,0.85062987,1.0,1.00060024,0.00051028,inf,1,1,"['ct_dst_sport_ltm', 'is_sm_ips_ports']",2,"ct_dst_sport_ltm,is_sm_ips_ports"
frozenset({'ct_dst_src_ltm'}),frozenset({'is_sm_ips_ports'}),0.54769046,0.99940012,0.54769046,1.0,1.00060024,0.00032855,inf,1,1,"['ct_dst_src_ltm', 'is_sm_ips_ports']",2,"ct_dst_src_ltm,is_sm_ips_ports"
frozenset({'state'}),frozenset({'proto'}),0.70065987,0.71085783,0.70065987,1.0,1.40675105,0.20259032,inf,1,1,"['proto', 'state']",2,"proto,state"
frozenset({'sloss'}),frozenset({'proto'}),0.30293941,0.71085783,0.30293941,1.0,1.40675105,0.08759256,inf,1,1,"['proto', 'sloss']",2,"proto,sloss"
frozenset({'proto'}),frozenset({'swin'}),0.71085783,0.71085783,0.71085783,1.0,1.40675105,0.20553898,inf,1,1,"['proto', 'swin']",2,"proto,swin"
frozenset({'swin'}),frozenset({'proto'}),0.71085783,0.71085783,0.71085783,1.0,1.40675105,0.20553898,inf,1,1,"['proto', 'swin']",2,"proto,swin"
frozenset({'state'}),frozenset({'swin'}),0.70065987,0.71085783,0.70065987,1.0,1.40675105,0.20259032,inf,1,1,"['state', 'swin']",2,"state,swin"
frozenset({'sloss'}),frozenset({'swin'}),0.30293941,0.71085783,0.30293941,1.0,1.40675105,0.08759256,inf,1,1,"['sloss', 'swin']",2,"sloss,swin"
frozenset({'ct_src_dport_ltm'}),frozenset({'ct_dst_sport_ltm'}),0.73725255,0.85542891,0.73725255,1.0,1.16900421,0.1065854,inf,1,1,"['ct_dst_sport_ltm', 'ct_src_dport_ltm']",2,"ct_dst_sport_ltm,ct_src_dport_ltm"
frozenset({'ct_dst_src_ltm'}),frozenset({'ct_dst_sport_ltm'}),0.54229154,0.85542891,0.54229154,1.0,1.16900421,0.07839968,inf,1,1,"['ct_dst_sport_ltm', 'ct_dst_src_ltm']",2,"ct_dst_sport_ltm,ct_dst_src_ltm"
frozenset({'sloss'}),frozenset({'trans_depth'}),0.30293941,0.90641872,0.30293941,1.0,1.10324289,0.02834946,inf,1,1,"['sloss', 'trans_depth']",2,"sloss,trans_depth"
frozenset({'sloss'}),frozenset({'ct_flw_http_mthd'}),0.30293941,0.90641872,0.30293941,1.0,1.10324289,0.02834946,inf,1,1,"['ct_flw_http_mthd', 'sloss']",2,"ct_flw_http_mthd,sloss"
frozenset({'trans_depth'}),frozenset({'ct_flw_http_mthd'}),0.90641872,0.90641872,0.90641872,1.0,1.10324289,0.08482383,inf,1,1,"['ct_flw_http_mthd', 'trans_depth']",2,"ct_flw_http_mthd,trans_depth"
frozenset({'ct_flw_http_mthd'}),frozenset({'trans_depth'}),0.90641872,0.90641872,0.90641872,1.0,1.10324289,0.08482383,inf,1,1,"['ct_flw_http_mthd', 'trans_depth']",2,"ct_flw_http_mthd,trans_depth"
frozenset({'sloss'}),frozenset({'response_body_len'}),0.30293941,0.91481704,0.30293941,1.0,1.09311475,0.02580528,inf,1,1,"['response_body_len', 'sloss']",2,"response_body_len,sloss"
frozenset({'trans_depth'}),frozenset({'response_body_len'}),0.90641872,0.91481704,0.90641872,1.0,1.09311475,0.07721143,inf,1,1,"['response_body_len', 'trans_depth']",2,"response_body_len,trans_depth"
